no,title,format,cat1,cat2,cat3,what,material,medium,pagelink,imglink,year,month,date,days,In h,hours
1,10 Second Reverberations,Experience,Audiovisual,,Piano,Interactive audiovisual experience on piano.,Piano,Physical,https://karynnakamura.com/post/640720433568743424/10-second-reverberations-a-sound-exists-not-only,https://64.media.tumblr.com/dda087848995b3f93839fd45be9e9c94/e439cd4add15c03d-32/s540x810/c4a4f04801ed269d14cd700c41c6190b18b3130a.gifv,2020,May,5/21/2020,0,0,35
2,Clutter Type,Experience,Misc,,,Interactive program on computer.,Computer,Physical,https://karynnakamura.com/post/640718493224927232/clutter-type-inspired-by-my-messy-end-of-semester,https://64.media.tumblr.com/b39b97e859c98fb5ab087392e0ae507f/6ca4aa4b72c89ef0-5f/s540x810/87434c583054e8405fde1ed109bc06561c2806a5.gifv,2020,June,6/19/2020,29,696,8
3,Home Tones,Experience,Audiovisual,,Piano,Interactive audiovisual experience on piano.,Piano,Physical,https://karynnakamura.com/post/640718446146011136/home-tones-i-was-curious-of-how-the-colors-of,https://64.media.tumblr.com/2d3004868d5703ee6482b37b46f9aa6e/ff24ee7d7dd149fd-0b/s1280x1920/60ef4f660208395bd9ee13786b54b8cb0d15fc29.png,2020,July,7/6/2020,46,1104,12
4,Women in the Japanese Workforce,Website,Website,,Dataviz,Data visualization website.,-,Digital,https://karynnakamura.com/post/640718516285227008/women-in-the-japanese-workforce-data-visualization,https://64.media.tumblr.com/1da0dd16006a55c99e50937dc3796ccd/ab2da8d7d700ca9e-fb/s1280x1920/60d87531bda364b0105971b8d3cafb45259c3d0a.png,2020,August,8/2/2020,73,1752,15
5,House of Representatives,Website,Website,,Dataviz,Data visualization website.,-,Digital,https://karynnakamura.com/post/640720637494689792/house-of-representatives-data-visualization-of,https://64.media.tumblr.com/1351114d7f6720319d38bc9aeb1437c9/02226618dd9f28df-c6/s540x810/5914ddd87944a7f2b7df93c18ad3901b741b6362.gifv,2020,August,8/9/2020,80,1920,20
6,Slaughter Beach Dog Safe and Also No Fear Audiovisual,Video,Audiovisual,,Distorted,Audiovisual video.,-,Digital,https://karynnakamura.com/post/640720306086035456/album-cover-audiovisual-slaughter-beach-dog-safe,https://64.media.tumblr.com/e307c0e6ed4bd0862ac96d01228a0c62/b323914696c2a015-7a/s540x810/8d02ace59dce77aa1c8daa529ab9d85bda2a1d46.gifv,2020,August,8/20/2020,91,2184,18
7,,Image,Graphic Design,,Distorted,Distorted photo.,-,Digital,https://karynnakamura.com/post/645245973184036864/wonky-sunset-today,https://64.media.tumblr.com/4de641d52d91d7667fe6f9cba9083406/7ce9e2a25e9c3ef6-b8/s1280x1920/5da8e27587b2a32f1b8ba3cc45b0a72b863ddd4c.jpg,2020,September,9/10/2020,112,2688,0.2
8,,Image,Graphic Design,,Distorted,Distorted photo.,-,Digital,https://karynnakamura.com/post/645246392379506688,https://64.media.tumblr.com/ed9e5b249cbf7547bbdafbd35ca8c1cc/f61b8c9d7276e1d1-d2/s540x810/75fd7c1a3abb5c626c30017c464d9613ff5a96d3.gifv,2020,September,9/11/2020,113,2712,0.2
9,Kodak ProImage 100 August 2020 Roll,Image,Graphic Design,,,Image average.,-,Digital,https://karynnakamura.com/post/646362873172508672/image-average-of-a-roll-of-kodak-proimage-100-film,https://64.media.tumblr.com/9d26e382c0c53bd5955a659eb79c4e74/d2018fec03c07c8d-ad/s1280x1920/2513048e67150b47ce6deb8d055c35e8d44c30a0.jpg,2020,October,10/1/2020,132,3168,0.5
10,Joy Division Unknown Pleasures Audiovisual,Video,Audiovisual,,,Audiovisual video.,-,Digital,https://karynnakamura.com/post/640720116707999744/album-cover-audiovisual-joy-division-unknown,https://64.media.tumblr.com/d8f359de237a846506f86c06619494c6/dfff839cbc666253-7c/s540x810/92f815768cf25acc85c775bf28dae96bb9c171f9.gifv,2020,October,10/5/2020,136,3264,12
11,(I worship Lillian Schwartz),Video,Motion Graphics,,Distorted,Motion Graphics.,-,Digital,https://karynnakamura.com/post/645248574945427456,https://64.media.tumblr.com/ed28b63d53110e8c862999aca50bb2ef/77ac024cffc43ded-24/s400x600/4048befe5e0a5e2365bbc632b2645cf5bea25e64.gifv,2020,October,10/10/2020,141,3384,3
12,Oil and Water,Video,Motion Graphics,,Distorted,Motion Graphics.,-,Digital,https://karynnakamura.com/post/645244437287534592/oil-and-water,https://64.media.tumblr.com/fc51729dac79f585ad957be8f4f4e2c7/8b7d1b73d4c803ff-f7/s540x810/f19137122cb9ec1e61c67455deef9ae6eae6c9e6.gifv,2020,October,10/22/2020,153,3672,0.2
13,Trails,Experience,Projection,,,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/640718612380909568/trails-inspired-by-camille-utterbacks-interactive,https://64.media.tumblr.com/07ffe12c85ab1c0aa65308c91f1b7860/57898d783d3b3f76-d5/s540x810/d70710b4acfc289ec97191723983e20b6f30bd4a.gifv,2020,November,11/5/2020,167,4008,10
14,,Image,Misc,,Distorted,Distorted photo,-,Digital,https://karynnakamura.com/post/645247004064235520,https://64.media.tumblr.com/250c87bda84e29f5b1a0aea71a2d98c2/acade87721eae1a7-ac/s1280x1920/f04388f284549c886c77c9e9f6a5dc356779e5df.png,2020,November,11/10/2020,172,4128,2
15,,Image,Misc,,Distorted,Distorted photo.,-,Digital,https://karynnakamura.com/post/645248451459907584,https://64.media.tumblr.com/6e46cf99e0ad320d68f3d29a86cf188c/25944fac7bf72407-81/s500x750/059c39f40cbe75f2714b712ef6271db5f4053011.gifv,2020,November,11/11/2020,173,4152,2
